IP:PORT, LOSS, DELAY
162.159.192.65:7152,0.00%,140 ms
162.159.192.149:5279,0.00%,141 ms
162.159.192.123:7152,0.00%,141 ms
162.159.192.206:7152,0.00%,141 ms
162.159.192.216:7152,0.00%,141 ms
162.159.192.214:7152,0.00%,141 ms
162.159.192.216:5279,0.00%,141 ms
162.159.192.141:5279,0.00%,142 ms
188.114.99.93:7152,0.00%,142 ms
188.114.99.109:5279,0.00%,142 ms
162.159.192.247:7152,0.00%,142 ms
162.159.192.214:5279,0.00%,142 ms
162.159.192.223:7152,0.00%,142 ms
188.114.99.93:5279,0.00%,142 ms
162.159.192.223:5279,0.00%,142 ms
162.159.192.247:5279,0.00%,142 ms
188.114.99.73:5279,0.00%,142 ms
162.159.192.206:5279,0.00%,142 ms
188.114.99.221:7152,0.00%,142 ms
188.114.98.23:7152,0.00%,142 ms
188.114.99.104:5279,0.00%,142 ms
188.114.99.73:7152,0.00%,142 ms
188.114.99.124:7152,0.00%,142 ms
188.114.99.207:5279,0.00%,142 ms
162.159.195.90:7152,0.00%,142 ms
162.159.195.102:5279,0.00%,142 ms
188.114.98.214:5279,0.00%,142 ms
188.114.98.23:5279,0.00%,143 ms
188.114.99.238:7152,0.00%,143 ms
188.114.98.151:5279,0.00%,143 ms
162.159.195.121:7152,0.00%,143 ms
162.159.195.243:7152,0.00%,143 ms
162.159.195.192:7152,0.00%,143 ms
188.114.98.48:5279,0.00%,143 ms
188.114.99.25:7152,0.00%,143 ms
162.159.195.170:7152,0.00%,143 ms
188.114.98.151:7152,0.00%,143 ms
188.114.99.196:7152,0.00%,143 ms
162.159.195.197:7152,0.00%,143 ms
188.114.99.109:7152,0.00%,143 ms
162.159.195.115:7152,0.00%,143 ms
188.114.98.33:7152,0.00%,143 ms
162.159.195.170:5279,0.00%,143 ms
188.114.99.238:5279,0.00%,143 ms
162.159.195.90:5279,0.00%,143 ms
162.159.192.124:7152,0.00%,143 ms
188.114.99.124:5279,0.00%,143 ms
188.114.99.25:5279,0.00%,143 ms
188.114.99.157:7152,0.00%,143 ms
162.159.195.154:7152,0.00%,143 ms
162.159.195.53:7152,0.00%,143 ms
162.159.195.192:5279,0.00%,143 ms
188.114.98.214:7152,0.00%,143 ms
188.114.98.48:7152,0.00%,143 ms
162.159.195.203:5279,0.00%,143 ms
188.114.98.26:5279,0.00%,143 ms
162.159.195.43:7152,0.00%,143 ms
162.159.195.136:7152,0.00%,143 ms
162.159.195.136:5279,0.00%,143 ms
162.159.195.197:5279,0.00%,143 ms
162.159.195.203:7152,0.00%,143 ms
188.114.98.167:5279,0.00%,143 ms
188.114.98.33:5279,0.00%,143 ms
188.114.98.0:7152,0.00%,143 ms
162.159.195.127:5279,0.00%,143 ms
188.114.99.207:7152,0.00%,143 ms
188.114.99.202:7152,0.00%,143 ms
188.114.99.104:7152,0.00%,143 ms
188.114.99.157:5279,0.00%,143 ms
162.159.195.53:5279,0.00%,143 ms
188.114.98.0:5279,0.00%,143 ms
162.159.195.121:5279,0.00%,143 ms
162.159.195.43:5279,0.00%,143 ms
188.114.98.26:7152,0.00%,144 ms
162.159.195.154:5279,0.00%,144 ms
162.159.192.5:7152,0.00%,144 ms
188.114.98.67:7152,0.00%,144 ms
188.114.98.82:5279,0.00%,145 ms
188.114.98.167:7152,0.00%,145 ms
188.114.99.202:5279,0.00%,145 ms
162.159.192.55:5279,0.00%,145 ms
162.159.192.65:5279,0.00%,145 ms
162.159.192.123:5279,0.00%,145 ms
162.159.192.124:5279,0.00%,145 ms
188.114.98.82:7152,0.00%,146 ms
162.159.192.34:5279,0.00%,146 ms
162.159.192.34:7152,0.00%,146 ms
162.159.195.102:7152,0.00%,146 ms
162.159.192.55:7152,0.00%,147 ms
188.114.96.17:7152,0.00%,150 ms
188.114.96.242:7152,0.00%,150 ms
188.114.96.203:7152,0.00%,150 ms
188.114.97.253:5279,0.00%,150 ms
188.114.96.179:5279,0.00%,151 ms
188.114.97.74:7152,0.00%,151 ms
188.114.97.20:5279,0.00%,151 ms
188.114.97.171:7152,0.00%,151 ms
188.114.97.169:5279,0.00%,151 ms
188.114.96.179:7152,0.00%,151 ms
188.114.96.230:7152,0.00%,151 ms
188.114.96.231:5279,0.00%,152 ms
188.114.97.97:5279,0.00%,152 ms
188.114.96.232:5279,0.00%,152 ms
188.114.96.38:7152,0.00%,152 ms
188.114.96.20:7152,0.00%,152 ms
188.114.96.76:5279,0.00%,173 ms
188.114.97.247:5279,0.00%,173 ms
188.114.97.247:7152,0.00%,173 ms
188.114.96.76:7152,0.00%,174 ms
188.114.97.225:7152,0.00%,174 ms
188.114.97.118:7152,0.00%,174 ms
188.114.97.171:5279,0.00%,174 ms
188.114.97.23:5279,0.00%,175 ms
188.114.96.247:7152,0.00%,175 ms
188.114.97.141:5279,0.00%,175 ms
188.114.97.23:7152,0.00%,176 ms
188.114.97.183:7152,0.00%,176 ms
188.114.96.247:5279,0.00%,176 ms
188.114.97.149:5279,0.00%,176 ms
188.114.96.231:7152,0.00%,176 ms
188.114.97.97:7152,0.00%,176 ms
188.114.96.20:5279,0.00%,176 ms
188.114.96.38:5279,0.00%,176 ms
188.114.96.17:5279,0.00%,176 ms
188.114.97.141:7152,0.00%,176 ms
188.114.96.101:7152,0.00%,176 ms
188.114.96.101:5279,0.00%,176 ms
188.114.97.225:5279,0.00%,176 ms
188.114.97.253:7152,0.00%,176 ms
188.114.97.74:5279,0.00%,177 ms
162.159.195.115:5279,10.00%,225 ms
162.159.192.141:7152,10.00%,227 ms
162.159.192.149:7152,10.00%,227 ms
188.114.99.196:5279,10.00%,228 ms
162.159.195.243:5279,10.00%,228 ms
188.114.99.221:5279,10.00%,228 ms
162.159.195.130:7152,10.00%,228 ms
162.159.195.130:5279,10.00%,228 ms
188.114.98.45:7152,10.00%,228 ms
162.159.192.32:7152,10.00%,228 ms
162.159.195.127:7152,10.00%,229 ms
188.114.98.67:5279,10.00%,229 ms
162.159.192.32:5279,10.00%,229 ms
188.114.98.45:5279,10.00%,229 ms
162.159.192.5:5279,10.00%,230 ms
188.114.96.232:7152,10.00%,235 ms
188.114.96.242:5279,10.00%,236 ms
188.114.97.169:7152,10.00%,236 ms
188.114.97.118:5279,10.00%,236 ms
188.114.96.230:5279,10.00%,237 ms
188.114.97.149:7152,10.00%,258 ms
188.114.97.183:5279,10.00%,259 ms
188.114.96.203:5279,20.00%,321 ms
188.114.97.20:7152,20.00%,344 ms
162.159.193.151:5279,100.00%,1000 ms
162.159.193.234:5279,100.00%,1000 ms
162.159.193.24:7152,100.00%,1000 ms
162.159.193.191:7152,100.00%,1000 ms
162.159.193.144:7152,100.00%,1000 ms
162.159.193.245:7152,100.00%,1000 ms
162.159.204.49:7152,100.00%,1000 ms
162.159.193.213:5279,100.00%,1000 ms
162.159.193.142:5279,100.00%,1000 ms
162.159.193.151:7152,100.00%,1000 ms
